DEGREE_PROGRAMME,COMPANY_NAME, LOCATION, CONTACT
Actuarial Science, Zeno computers,Nairobi,info@agilecloud.co.ke
Financial Engineering,REVENUE-COUNTY GOVERNMENT OF BUNGOMA ,SIRISIA -BUNGOMA ,bungomacountygvt@gmail.com
Software Engineering ,ANTKIM ENTERPRISES LTD ,Nairobi,antkimenterprises@gmail.com
Computer Science ,Alpha grid Technologies,Eldoret,info.alphagridtechnologies@gmail.com
Financial Engineering,KENYA ANIMAL GENETIC RESOURCES CENTER,Nairobi,info@kagric.co.ke
Actuarial Science ,Mathari hospital ,Muthaiga ,matharihospital@gmail.com
Actuarial Science ,TRANS NATIONAL TIMES SACCO LTD,Kitale ,info@tntsacco.co.ke 
Financial Engineering,NATIONAL SUB COUNTY TREASURY SOTIK,BOMET,treasury.sotik@gmail.com
Computer Science,National Health Inssurance Fund,Kerugoya,kerugoya@nhif.or.ke
Software Engineering,Nyandarua county government,OLKALOU,es@nyandarua.go.ke
Actuarial Science ,RUIRU NAZARETH HOSPITAL,RUIRU,ruirunazarethhospital@gmail.com
Software Engineering,POWER HUB CONSULTANT LIMITED,KIAMBU,info@powerhub.co.ke
information technology,Ruiru Nazareth Hospital,Ruiru,ruirunazarethhospital@gmail.com
Mathematics and Computer Science,Meru county government,Meru,merucounty@meru.go.ke
Mathematics and Computer Science,NG-CDF,Kirinyaga,cfkirinyagacentral@ngcdf.go.ke
Software Engineering,TEACH2GIVE,,Teach2give@gmail.com
Software Engineering,Christian Outreach Center,Thika,kingorimwangi237@gmail.com
Software Engineering,county government of kirinyaga ,kutus,info@kirinyaga.go.ke
Software Engineering ,Thales Software Solutions ,Nakuru,thalessolutions189@gmail.com
Software Engineering,Teach2give,Nyeri,info@teach2give.com
 Computer System Engineering,Clifford technologies limited,Nairobi,info@clifford.co.ke
Software Engineering ,University of Eldoret ,Eldoret ,info@uoeld.ac.ke
Mathematics and Computer Science ,Mukuru Referral Hospital ,Nairobi ,mukuruccc54@gmail.com
Business information technology ,COMPULYNX,Westlands,WWW.Compulynx.com
information technology,PROCOM NETWORKING SOLUTIONS LTD,NAIROBI,info@procom.net.co.ke
 Computer System Engineering,Masyopnet Technologies,kitui town,support@masyopnet.com
Mathematics and Computer Science,COUNTY GOVERNMENT OF WEST POKOT,KAPENGURIA,dome@gmail.com
Software Engineering ,Kega Limited ,kabete ,benjaminkivue@gmail.com
Computer Science ,county government of kitui ,kitui town,ict@kitui.go.ke
Business information technology ,Pivot Networks,Nairobi,frankline.kelvin@pivotnetworks.co.ke
Software Engineering,Upendo Electronics ltd,Nairobi branch,Bygrace2022shop@gmail.com
Software Engineering ,ikutha level 4 hospital ,"ikutha, kitui",Swambua00@gmail.com
Bsc in Mathematics and computer science,Eldoret water and sanitation company,Eldoret,info@eldowas.or.ke
Statistics ,Joy millers Limited,Kutus,admin@joymillerlimited.co.ke
Software Engineering ,Kijana Poa Org.,Kitengela,kijanapoaenterprize@gmail.com
Software Engineering ,Sanganti Tea Company ,Nyamira,info@sanganyi.ktdates.com
Computer Science,Agile Cloud ,Nairobi,info@agilecloud.co.ke
information technology ,Sidiana bank ,"Kitui Town, Kitui",support@masyopnet.com
 Computer Systems Engineering ,       KONZA TECHNOPOLIS,Nairobi ,konza@konza.go.ke
Software Engineering,THALES SOFTWARE SOLUTIONS,Nakuru,info@itea4.org
Software Engineering,POWERHUB CONSULTANT LIMITED,ruiru,info@powerhub.co.ke
Statistics ,NHIF Nakuru,Nakuru,nakuru@nhif.or.ke
Software Engineering ,county government of kirinyaga,kutus ,info@kirinyaga.go.ke
Statistics STATISTICS,COUNty government of kirinyaga,kutus ,info@kirinyaga.go.ke
Computer  Science ,Dina Web Developers,Nakuru,dinawebdevelopers@gmail.com 
Software Engineering,Upendo electronics ltd,Nairobi branch,Bygrace2022shop@gmail.com
Software Engineering ,Kenya forest services ,Nairobi,info@kenyaforestservices
Statistics statistics,KNBS,Nyeri,nyeri@knbs.or.ke
Software Engineering ,county government of Nakuru ,Nakuru,info@nakuru.go.ke
Software Engineering ,craydel kenya limited,Nairobi,info@craydel.com
Software Engineering ,Kerugoya County Referal Hospital,kerugoya,kerugoyahopital@gmail.com
information technology ,KIRINYAGA COUNTY OFFICE REVENUE COLLECTION ,"Kutus, Kerugoya",infor@kirinyaga.go.ke
Software Engineering,kirinyaga county headquarters,kerugoya,countycommissionerkirinyaga@gmail.com
Software Engineering,Rapsoltech consulting,Ruiru,rapsoltech254@gmail.com
Software engineering,Gully Net solutions,Kinoo,gullynet @gmail.com
Software Engineering ,county government nakuru,Nakuru ,info@nakuru.go.ke
Information  technology ,FILMTECH SYSTEMS ,NAIROBI ,filmtech systems @gmail.com 
Computer Science,Meru university -Meru town campus,Meru,towncampus@must.ac.ke
 mathematics and computer science ,Teach2Give ,Nyeri,info@teach2give.com
Bsc.Software Engineering,Maji.co.ke,NAIROBI ,info@maji.co.ke
information technology ,Mwea Software company,Mwea,mweasoftwarecompany@gmail.com
Computer Science,NHIF kerugoya,Kerugoya ,kerugoya@nhif.or.ke
Bsc in mathematics and computer science,Umeskia softawares,Kutus,info@umeskiasoftwares.com
mathematics and computer science,Umeskia softawares,Kutus,info@umeskiasoftwares.com
Computer Science,masyopnet Technologies,Kitui,support@masyopnet.com
Software Engineering,masyopnet Technologies,Kitui,support@masyopnet.com
information technology ,PRO. RESEARCH CO,Nairobi. Kutus ,Proresearch@gmail.com
Course Computer Science,Delmonte limited company,Thika,nanasi@delmonte.co.ke
information technology ,KINANGOP TECHNICAL AND VOCATIONAL COLLEGE,NJABINI,kinangoptvc@gmail.com
information technology,"PRP4+ GM8, Uthiru Nairobi",Nairobi,info@franciumsources.com
Software Engineering,"HUDUMA CENTER GPO, NAIROBI",NAIROBI,info@hudumakenya.go.ke
information technologyY,MURANG'A UNIVERSITY,MURANG'A,info@mut.ac.ke
Actuarial Science ,Britam Life Assurance ,Nairobi ,info@britam.com
Software Engineering,RIFT VALLEY INSTITUTE OF SCIENCE AND TECHNOLOGY,NAKURU,Principal@rvist.ac.ke
information technology,THIWASCO,THIKA,info@thikawater.co.ke
information technology,NYANGENA HOSPITAL LIMITED,KISII,info@nyangenahospital.com
information technology,Kenya Airport Authority,Nairobi,info@kaa.go.ke
information technology,EASY COMPUTER TRAINING COLLEGE,KISII,easycomp@gmail.com 
Computer Science ,IBM ,Nairobi,ibm.eu@skilluponline.com
information technology,MAJI.CO.KE,NAIROBI,info@maji.co.ke
Software Engineering,Starnet Solutions Limited,Ruai Nairobi,info@starnet.co.ke
information technology,COUNTY GOVERNMENT OF NYANDARUA,OLKALOU,info@nyandarua.go.ke
Computer Science,County Government of Kirinyaga,Kirinyaga,info@kirinyaga.go.ke
Software Engineering,Couty Government of Nakuru Department of Finance,Nakuru,psm@nakuru.go.e
Computer Science,Nyeri Water and Sanitation company limited ,Nyeri ,www.nyewasco.co.ke
Software Engineering ,county government of Nakuru ,Nakuru,info@nakuru.go.ke
Software Engineering ,craydel kenya limited,Nairobi,info@craydel.com
Software Engineering ,Kerugoya County Referal Hospital,kerugoya,kerugoyahopital@gmail.com
Software Engineering,kirinyaga county headquarters,kerugoya,countycommissionerkirinyaga@gmail.com
Software Engineering,Rapsoltech consulting,Ruiru,rapsoltech254@gmail.com
Software engineering,Gully Net solutions,Kinoo,gullynet @gmail.com
Software Engineering ,Ministry of ICT- ICT Authority West Pokot ,Kapenguria,daniel.odongo@icta.go.ke
information technology ,Biashara wakulima daily society limited ,Naivasha ,wambuikamaru824@gmail.com
Computer Science,UNITED STATES INTERNATIONAL UNIVERSITY ,NAIROBI ,helpdesk@usiu.ac.ke
Computer Science,KENVERSITY SACCO LTD,NAIROBI ,info.@kenversitysacco.co.ke
Business information technology ,National Social Security Fund ,Nakuru,info@nssfkenya.co.ke
information technology ,KIRINYAGA COUNTY OFFICE REVENUE COLLECTION ,Kerugoya,info@kirinyaga.go.ke
Business information technology,KENAFRIC  INDUSTRY ,NAIROBI,admin@kenafricind.com
Business and information technology,Cooperative bank ,Kutus,kutusbr@co-opbank.co.ke
Software Engineering,TEACH2GIVE,KUTUS,info@teach2give.com
SOFTWARE ENGINEERING,QUICK KOBIL SERVICES ORG,EMBU,quickkobilembu@yahoo.com
Mathematics & computer Science,COUNTY GOVERNMENT OF BOMET,BOMET,Gilbert.cheruiyot@bomet.go.ke
Computer Science,MURIRANJA HOSPITAL ,Muranga,hosymuri@yahoo.com
Financial Engineering ,NAIROBI CITY WATER AND SEWERAGE COMPANY LTD ,Nairobi ,@nairobiwater.co.ke
Financial Engineering ,MABATI ROLLING MILLS ,Thika,rollingmillsm@gmail.com
Mathematics and Computer Science,County Government of Embu,Embu,info@embu.go.ke
Computer Science,COUNTY GOVERNMENT OF NAKURU,Nakuru,info@nakuru.go.ke
Mathematics and Computer Science,COUNTY GOVERNMENT OF EMBU,Embu,info@embu.go.ke
Financial Engineering ,Gitugi Tea Factory Limited,Othaya,info@ktdateas.com
Actuarial Science ,MINET KENYA INSURANCE BROKERS LTD ,NAIROBI ,info@minet.co.ke
information technology,MURANG'A UNIVERSITY OF TECHNOLOGY,MURANG'A,info@mut.ac.ke
Business information technology ,UNIVERSITY OF EMBU,EMBU,dvc.paf@embuni.ac.ke
Business information technology ,Teach2give training program ,Nyeri,info@teach2give.com
Computer Science,LEETECH WORLD K LIMITED,Kitui,leetechworldklimited@gmail.com
information technology,KENYA AGRICULTURAL AND LIVESTOCK RESEARCH ORGANIZATION ,Kisumu, director.sri@kalro.org
SOFTWARE ENGINEERING,MOMONIAT COFFEE FARMERS CO-OPERATIVE SOCIETY,"Kericho,kipkelion",momcopsociety@gmail.com
Software Engineering,PREMIER BANK EASTLEIGH ONE - GARISSA LODGE BRANCH," Eastleigh,Nairobi",info.eastleighbranch@fcb.co.ke
Actuarial science ,KENYA TEA DEVELOPMENT AGENCY LIMITED ,Makindu,info.sonifixenergies.co.ke
Computer Science ,Sonifix Energy Company,Makindu,info.sonifixenergies.co.ke
Statistics ,KENYA AGRICULTURAL AND LIVESTOCK RESEARCH ORGANISATION,KABETE ,info@kalro.org
Computer Science,TEACH2GIVE ,KIRINYAGA UNIVERSITY ,info@teach2give.com
Computer Science,County government of kirinyaga ,Kutus,info@kirinyaga.go.ke
Bsc. Computer Systems Engineering,SEROXIDE ENTERTAINMENT,"Homa Bay, Nyanza",info@seroxideentertainment.co.ke
Computer Science,County government of Kirinyaga,,info@kirinyaga.go.ke
Computer Science,KTDA,Nyamira,Info@tombe.ktdateas.com
Mathematics and Computer Science,MINISTRY OF ROADS AND PUBLIC TRANSPORT,"Industrial area, Nairobi",cmte@mechanical.go.ke
Software Engineering,Gully Net Solutions,Kinoo,gullynet@gmail.com
information technology,EMBU LEVEL 5 HOSPITAL,EMBU,pghembu@gmail.com
information technology ,KE-900 Oseronyokie Child Development & Resource Centre ,"Ewuaso, Kajiado",ke900pomcoseronyokie@gmail.com
Bsc.business information technology,Environment and Land Court,"Thika, Kiambu ",thikaelc@gmail.com
Bcs.Computer Systems Engineering,KENYA COAST GUARD SERVICE,"Liwatoni, Mombasa",info@kcgs.go.ke
Computer Science,teach2give training ,,info@teach2give.com
Business information technology ,i-lab Africa ,Nairobi ,ilabafrica@strathmore.edu
information technology ,Xping Technologies LTD,"Kikuyu, Kiambu",@xpingtechnologies.com
Software Engineering ,Techkids Africa,Mombasa,techkidsafrica@gmail.com
Computer Science ,Kirinyaga county government ,"Kutus, Kirinyaga ",kirinyagacounty2013@gmail.com
Software Engineering,teach2give training ,"Kutus, Kirinyaga ",info@teach2give.com
Computer Science,Kapenguria County Refferal Hospital,"kapenguria,west pokot",kapenguria@yahoo.com
Business information technology ,PESAFY AFRICA,"KASARANI, NAIROBI ",pesafyafrica@gmail.com
Mathematics and Computer Science ,ICT fire and rescue ,"Thika,kiambu",info@ictfire.com
Bsc . Computer System Engineering ,Kinoo Gully Net Solution ,kinoo,gullynet@gmail.com
Computer Science,KEFRI COAST ECO-REGION ,"Gede,Kilifi",rdgede@kefri.org
information technology,CyberEdge Systems,Nairobi,info@cyberedgesystems.com
information technology,county government of Kirinyaga,Kutus,info@kirinyaga.go.ke
Computer Science,AGILE CLOUD LIMITED,NAIROBI ,info@agilecloud.co.ke
information technology,WAITHAKA V.T.C,NAIROBI,waithakatechicalcenter@gmail.com
information technology,EMBU LEVEL 5 HOSPITAL,EMBU,pgembu@gmai.com
BSC.SOFTWARE ENGINEERING,MATHIRA SUBCOUNTY REVENUE DEPARTMENT,KARATINA,mathiraeastsubcounty@gmail.com
BSC.SOFTWARE ENGINEERING,TEACH2GIVE,KUTUS,info@teach2give.com
Business information technology,HUDUMA CENTRE NYERI,NYERI,info@teach2give.com
BSC.financial engineering,county government of Kirinyaga,KUTUS,kirinyagacounty2013@gmail.com
information technology,TEACH2GIVE,KUTUS,info@teach2give.com
information technology,EMBU LEVEL 5 HOSPITAL,EMBU,pgembu@gmail.com
BSC IN ACTUARIAL SCIENCE,PLATINUM CREDIT LIMITED- RONGAI BRANCH,RONGAI,rongailbf@gmail.com
Actuarial Science,FIDELITY SHIELD INSURANCE ,NAKURU,nakuru@fidelityshield.com
Actuarial Science,Nile Capita insurance Brokerage,Nairobi,customer.care@nilecapotal.co.ke
Software Engineering ,RONGO UNIVERSITY ,MIGORY,egaa@rongovarsity.ac.ke
Actuarial Science ,Bricks insurance Agency limited ,Nairobi - Upperhill ,underwriting bricks@gmail.com
Computer Science ,Kerugoya County Referral Hospital ,kerugoya,kerugoyahopital@gmail.com
 Computer System Engineering ,County Government of Migori,Migori,migoricountygov@gmail.com
information technology,County assembly of nakuru,Nakuru,wasegesward@gmail.com
Computer Science ,Nyahururu County Referral Hospital,Nyahururu town,medsupnyahudh@gmail.com
Actuarial Science,County Assembly of kirinyaga,Kirinyaga,kirinyagacountyassembly@gmail.com
Actuarial Science,"MINISTRY OF YOUTHS AFFAIRS, CREATIVE ECONOMY AND SPORTS",Nairobi,wanjiku.12216@students.kyu.ac.ke
Bsc.Software Engineering,Techfinity Softwares,Ruiru,info@techfinitysoftwares.ac.ke
Computer Science ,MINISTRY OF LANDS NAIROBI ,NAIROBI ,pslands@ardhi.go.ke
information technology ,Tenwek Hospital ,Bomet,customer.experience@tenwekhosp.org
Actuarial Science,Ruiru Nazareth Hospital,Ruiru,ruirunazarethhospital@gmail.com
information technology,County assembly of nakuru,Nakuru,Wasegesward@gmail.com
Business information technology,Toror tea factory,Kericho,info@toror.ktdateas.com
Computer Science ,Twinnet Computer College,ENGINEER ,twinnetcybercenter@gmail.com
Mathematics and Computer Science ,TWINNET COMPUTER COLLEGE ,ENGINEER ,twinnetcybercenter@gmail.com
Computer Science,NSSF(NATIONAL SOCIAL SECURITY FUND),MAUA,info@nssfkenya.co.ke
Actuarial Science,PALMTIMES EXTRA SOLUTIONS LIMITED,NAIROBI,info@palmtimessolutions.com
Actuarial Science,  NDEGE CHAI SACCO,KERICHO,info@ndegechaisacco.com
information technology, Teachers service commission,BOX 1 MAGADI/KAJIADO,Janetkoikai@gmail.com
Actuarial Science, Zeno computers,Mombasa,Zenocomputers254@gmail.com
information technology ,African Airlines building (AFRAA BUILDING),"South C, Nairobi ",info@optimaxgroup.co.ke
information technology,AFRIKA GENERAL MERCHANTS,KIAMBU,afrikamerchants@gmal.com
Mathematics and Computer Science ,AFS HOLDINGS LIMITED ,NAIROBI ,info@afsholdings.co.ke
Bsc in Computer Science,Agricultural Finance Corporation,Narok,afcloitokitok@agrifinance.org
Mathematics and Computer Science,Agricultural Finance Corporation ,Loitokitok,info@agrifinance.org
Mathematics and Computer Science,ALEWAKI INVESTMENT LIMITED,KAGIO,info.alewaki@gmail.com
Financial Engineering,AMICA SAVINGS AND CREDIT LIMITED HQ,MURANG'A ,hello@amicacs.co.ke
Mathematics and Computer Science,AMREC Consultants,Nairobi,info@amrecafrica.org
Mathematics and Computer Science,AMREC Consultants,Nairobi,info@amrecafrica.org
PA101/G/11629/20,AMREC Consultants,Nairobi,info@amrecafrica.org
Financial Engineering,APENIA Modern Banking for Africans,"Nairobi,Kenyatta University",infor@apenia.com
Mathematics and Computer Science,Avenue Hospital,Parklands,info@avenuehealthcare.com
Software Engineering ,AVSI Foundation ,"Lang'ata, Nairobi ",elvisondijo@gmail.com
information technology,AWS | TechAlpha,Nairobi,703360107
Financial Engineering,BIASHARA FOSA ,"Mairo-inya , Nyahururu ",gracen@biasharasacco.co.ke
Computer Science ,Brackenhurst Conference and Retreat Centre,Kiambu,bookings@brackenhurst.com
BSc.Finantial Engineering ,Bulfam investment and meat suppliers limited,Nairobi ,bulfamsupliers@gmail.com
information technology,BUNGOMA COUNTY REFFERAL HOSPITAL,BUNGOMA,bungomadhospital@yahoo.com
Mathematics and Computer Science,Cassini Degra Limited,Ruiru,info.cassinidegra@gmail.com
 Actuarial Science,Pelican Auto Trading Limited,Nairobi,info@pelicanauto.co.ke
Bsc in Mathematics and computer science,Catherine Gathee,Embu,info@embu.go.ke
Computer Science ,CBK Pension  Towers,Nairobi,support@ecitizen.go.ke
Computer Science ,CBK Pension  Towers,Nairobi,support@ecitizen.go.ke
 Computer System Engineering,CENTRIC LIMITED,PARKLANDS,info@centricltd.co.ke
Mathematics and Computer Science,Chepsirei technical and vocational college ,"Elgeyo marakwet ,kimwarer",chepsireitvc@gmail.com
Computer Science,Chuka county refferal hospital ,Chuka,medsuptchuka@gmail.com
Bcs mathematics and computer science ,Chuka hospital ,chuka,medsuptchuka@gmail.com
Mathematics and Computer Science,Context Expert Agencies ltd,"Ruiru, Kiambu",contentexpertagencies2019@hotmail.com
Financial Engineering,Cosmopolitan Sacco,Molo,info@cosmopolitansacco.co.ke
Mathematics and Computer Science,cotext expert,ruiru town,contentexpertagencies2019@hotmail.com
information technology,JAMES MUITA,Nakuru,Wasegesward@gmail.com
Software Engineering ,County commissioner's office Trans Nzoia ,Kitale ,info@ict.go.ke
Software Engineering,COUNTY GOVERMENT OF KIRINYAGA,KIRINYAGA,info@kirinyaga.go.ke
Software Engineering,COUNTY GOVERMENT OF NAIROBI,NAIROBI,INFO@NAIROBI.CO.KE
Software Engineering,County Government  of Kirinyaga,Kutus,info@kirinyaga.go.ke
Mathematics and Computer Science,COUNTY GOVERNMENT OF BUNGOMA,BUNGOMA,bungomacountygvt@gmail.com
Statistics STATISTICS ,COUNTY GOVERNMENT OF BUNGOMA ,Bungoma ,bungomacountygovt@gmail.com
Statistics ,COUNTY GOVERNMENT OF KERICHO ,KERICHO ,info@kericho.go.ke
Statistics ,County Government Of Kilifi ,Kilifi ,planning@kilifi.go.ke
Financial Engineering,County Government Of Kirinyaga,Kutus,kirinyagacounty2013@gmail.com
BSc  Financial Engineering ,County Government of Kirinyaga ,Kutus ,kirinyagacounty2013@gmail.com 
BSc  information technology ,county government of kirinyaga ,Kutus,info@kirinyaga.go.ke
BSc  information technology ,county government of kirinyaga ,Kutus,info@kirinyaga.go.ke
Mathematics and Computer Science ,County Government of Kirinyaga ,kutus,info@kirinyaga.go.ke::
BSc  information technology ,county government of kirinyaga ,Kutus,info@kirinyaga.go.ke
PA109/G/14498/21,County government of Laikipia,Nanyuki ,info@laikipia.go.ke
Software Engineering ,County Government of Migori ,Migori ,migoricountygov@gmail.com
Statistics ,COUNTY GOVERNMENT OF MÛRANG'A ,Mûrang'a ,cdpomuranga@gmail.com
Financial Engineering,County Government of Nandi,Kapsabet ,info@nandi.go.ke
Statistics ,COUNTY GOVERNMENT OF NYERI,NYERI,kilimonyeri@gmail.com
Software Engineering ,COUNTY GOVERNMENT OF NYERI,NYERI,kilimonyeri@gmail.com
Mathematics and Computer Science ,COUNTY GOVERNMENT OF THARAKA-NITHI ,Kathwana ,info@tharakanithi.go.ke
information technology ,County government of uasin gishu,Eldoret ,Info@uasingishu.go.ke
information technology,COUNTY GOVERNMENT OF UASIN GISHU,ELDORET,info@uasingishu.go.ke
information technology ,County government of uasin gishu,Eldoret ,Info@uasingishu.go.ke
Statistics ,PZ CUSSONS,Nairobi ,General. Enquiries@pzcusson.com
Software Engineering ,County Government of Uasin gishu ,Eldoret,countyhrm@uasingishu.go.ke
Software Engineering,Craydel Kenya Limited ,Nairobi, info@craydel.com
Software Engineering,DANKYTECHS SOLTION,MATUU ,dankyteschs@gmail.com
information technology ,Dedan kimathi university of  technology ,Nyeri,info@dkut.ac.ke
Software Engineering ,Deities technologies ,Nairobi ,John.mbuthia@deitiestech.com
Software Engineering,Deloway Solutions,Nairobi ,hello@deloway.com
Software Engineering ,DIMKES SACCO,kiambu,info@dimkessacco.co.ke
Software Engineering ,DOUBLE MECHARNTS GEN. COMPANY ,Murang'a ,doublemGen@gmail.com
Software Engineering ,DOUBLE MECHARNTS GEN. COMPANY ,Murang'a ,doublemGen@gmail.com
PA106/G/15478/21,Dynamic Mobility Technology,Nairobi,info@@dynamicmobility.co.ke
Software Engineering ,East African Portland Cement PLC,"Athi River, Machakos ",info@eapcc.co.ke
Software Engineering,EBEREGE TEA FACTORY,KISII TOWN,info@eberege.ktdateas.com
Computer Science,EBEREGE TEA FACTORY,KISII TOWN,info@eberege.ktdateas.com
Mathematics and Computer Science,EGERTON UNIVERSITY,"NAKURU, NJORO",registar.hca@egerton.ac.ke
Mathematics and Computer Science,EGERTON UNIVERSITY,"NAKURU, NJORO",registar.hca@egerton.ac.ke
Computer Science,Egerton University ,NAKURU Njoro,registrar.hca.@egerton.ac.ke
Software Engineering ,ELDAMA RAVINE KAREN ROSES ,ELDAMA RAVINE ,Sales@karenroses.com
information technology ,ELDAMA RAVINE KAREN ROSES ,ELDAMA RAVINE ,Sales@karenroses.com
Computer Science,Elderman Labs,Bungoma,elderman.labs@gmail.com
Actuarial Science ,ELDOWAS,Eldoret ,eldowas@gmail.com
Actuarial Science ,ELDOWAS,Eldoret ,eldowas@gmail.com
information technology ,Embu County offices ,EMBU ,info@embu.go.ke
information technology,EWASCO EMBU,EMBU,info@embuwater.co.ke
Computer Science,FIDELITY SHIELD INSURANCE COMPANY,KISUMU ,lwanami@fidelityshield.com
Financial Engineering,FLAVIN VENTURES CO.LTD,NAIROBI/MERU,FLAVIN VENTURES SKE@GMAIL.COM
BSC IN COMPUTER SYSTEMS ENGINEERING,Frevane Hospital,Embu,info@frevanehospital.co.ke
Computer Science,Gacharage Tea Factory CO LTD,Murang'a ,info@gacharage.ktdateas.com
Computer Science,Gacharage Tea Factory CO LTD,Murang'a ,info@gacharage.ktdateas.com
Computer Science,Gacharage Tea Factory CO LTD,Murang'a ,info@gacharage.ktdateas.com
Software Engineering ,GATUNDU ICT CENTER ,"Gatundu,Kiambu",duncanmuthami92@gmail.com
information technology,Gertrudes children hospital,"muthaiga,  kiambu",ugakuru@gerties.org
Computer Science,GITHONGO TEA FACTORY,GITHONGO MERU,info@githongo.ktdateas.com
Computer Science,GITHONGO TEA FACTORY,GITHONGO MERU,info@githongo.ktdateas.com
Software Enginnering,Godan Programme for Capacity Development,"Nairobi, Kenyatta University",comms@godan.info
Computer Science,Gully Net solutions ,"Kinoo,Kiambu",gullynet@gmail.com
Bsc math and computer science ,Huduma Center kerugoya ,KERUGOYA ,hudumakenyakirinyaga@gmail.com
Bsc.Software engineering,huduma centre baringo,kabarnet Baringo,cmhudumabaringo@gmail.com
Mathematics and Computer Science,"HUDUMA, KERUGOYA ",KERUGOYA ,hudumakenyakirinyaga@gmail.com
information technology ,ICT AUTHORITY ,"Nairobi CBD,Teleposter Towers 12th Floor",info@ict.go.ke
Computer Science,ICT AUTHORITY KITUI COUNTY OFFICE,KITUI (Kitui county commissioner's offices),info@icta.go.ke
Software Engineering ,ICT AUTHORITY KITUI COUNTY OFFICE,KITUI (Kitui county commissioner's offices),info@icta.go.ke
information technology,ICT AUTHORITY TURKANA COUNTY OFFICE ,lodwar,ictlodwar@gmail.com
Mathematics and Computer Science,IMARISHA SACCO LIMITED BOMET,Bomet,Vincent.kirui@imarishasacco.co.ke
Bsc Software Engineer ,Impax Business Solutions ,Nairobi,info@impaxafrica.com
Computer Science ,Joetech General Supplies Limited ,Nairobi,info@joetechltd.co.ke
Computer Science,JOETECH GENERAL SUPPLIES LIMITED ,Nairobi,info@joetechltd.co.ke
BSC. COMPUTER SYSTEMS ENGINEERING ,JUSNET BUSINESS INSTITUTE ,MALINDI,jusnetcollege@ymail.com
Software Engineering,KABIYET ICT CENTRE,"KABIYET,NANDI",jeffcom100@gmail.com
information technology ,Kagumo teachers' Training College,"gatitu,nyeri",info@kagumocollege.ac.ke
Computer Science,Kagumo teachers' Training College,"gatitu,nyeri",info@kagumocollege.ac.ke
Statistics,KALRO,NAIVASHA,karinaivasha@gmail.com
Computer Science,KALRO NAIVASHA,Naivasha,karinaivasha@gmail.com
information technology,KALRO-NRI,Kakamega,kalronri@kalro.org
Financial Engineering,"KALRO,HQ",Nairobi ,info@kalro.org
information technology ,Kapkatet ICT center ,Kapkatet ,kapkatetict.info@gmail.com
Software Engineering ,Kaptembwa Angaza,Nakuru,nuabutoleaon22@gmail.com
Financial Engineering,"KCB, HQ ","Nairobi, KENCOM Hse.",contactcenter@kcbgroup.com
information technology,KCT Technical College,"Kibingoti,Kirinyaga",jmramah@gmail.com
information technology,KCT Technical College,"Kibingoti,Kirinyaga",jmramah@gmail.com
Computer System Engineering,KEFRI ,Kiambu,director@kefri.org
Financial Engineering,KEMRI HQ,Nairobi ,corporateservices@kemri.go.ke
Financial Engineering,KENYA ELECTRICITY GENERATING COMPANY,NAIVASHA,pr@Kengen.co.ke
Software Engineering ,Kenya Forest service ,Nyandarua ,zmnyandarua@kenyaforestservice.org
Financial Engineering,KENYA INSTITUTE OF SECURITY AND CRIMINAL JUSTICE ,"Nairobi , Hazina Towers ",info@kiscj.ac.ke
Computer System Engineering,kenya medical training collage ,Lugari ,lugari@kmtc.ac.ke
information technology ,KENYA PIPELINE COMPANY LIMITED (PS1 Changamwe Terminal),"Old Magongo Road,ChangamweMombasa",info@kpc.co.ke
Financial Engineering,KENYA POLICE DT SACCO NAIROBI ,Nairobi ,info@policesacco.com
Software Engineering ,Kenya Port Authority ,Mombasa,ca@kpa.co.ke
Software Engineering,Kenya power and lighting company,Nairobi,kplc.co.ke
Computer Science,KENYATTA UNIVERSITY,KAHAWA,info@ku.ac.ke
Computer Science,KENYATTA UNIVERSITY,KAHAWA,info@ku.ac.ke
Computer science ,Kenyatta university training research and referral hospital,Nairobi,Ict@kutrrh.goke.ke
information technology,kerugoya  County referral hospital,kerugoya,kerugoyahospital@gmail.com
information technology,kerugoya  County referral hospital,kerugoya,kerugoyahospital@gmail.com
Computer Science,KERUGOYA COUNTY REFERRAL HOSPITAL,Kerugoya,kerugoyahospital@gmail.com
Computer Science,KERUGOYA COUNTY REFERRAL HOSPITAL,Kerugoya,kerugoyahospital@gmail.com
Mathematics and Computer Science ,KERUGOYA COUNTY REFERRAL HOSPITAL,Kerugoya,kerugoyahospital@gmail.com
Computer Science ,kerugoya County referral hospital ,kerugoya ,kerugoyahospital@gmail.com
Computer Science ,kerugoya County referral hospital ,kerugoya ,kerugoyahospital@gmail.com
Mathematics and Computer Science,KERUGOYA LAW COURT,KERUGOYA,kerugoyacourt@court.go.ke
Computer Science,KERUGOYA LAW COURT,KERUGOYA,kerugoyacourt@court.go.ke
Computer Science,Ketech Solutions.,Nairobi,Ketechsolutions@gmail.com
Mathematics and Computer Science,KEYMDEN SOLUTIONS,"Ngong-Lane plaza, Ngong-road",info@keymdensolutions.com
Software Engineering,Kijanapoa enterprize Org.,Kitengela,kijanapoaenterprize@gmail.com
Software Engineering ,Kijanapoa enterprize Org.,Kitengela,kijanapoaenterprize@gmail.com
Software Engineering,Kijanapoa enterprize Org.,Kitengela,kijanapoaenterprize@gmail.com
